Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Description,Location
46.0,Male,PhD,Senior Manager,20.0,170000.0,"Looking for a Senior Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,"Seeking a skilled Technical Writer who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,"Looking for a Hr Generalist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
42.0,Male,Master's,Project Engineer,14.0,115000.0,"We are hiring a Project Engineer. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,"We are hiring a Customer Success Rep. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,"Join our team as a Sales Executive. Must have experience in Python, SQL and strong analytical abilities.",Chennai
34.0,Female,Master's,UX Designer,5.0,80000.0,"We are hiring a Ux Designer. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
48.0,Male,Master's,Operations Director,18.0,190000.0,"Join our team as a Operations Director. Must have experience in Python, SQL and strong analytical abilities.",Delhi
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,"Seeking a skilled Network Engineer who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,"Looking for a Administrative Assistant with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,"Looking for a Strategy Consultant with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,"Join our team as a Copywriter. Must have experience in Python, SQL and strong analytical abilities.",Delhi
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,"Join our team as a Account Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
45.0,Female,Master's,Director of Marketing,16.0,180000.0,"Seeking a skilled Director Of Marketing who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
38.0,Male,PhD,Senior Scientist,11.0,120000.0,"Looking for a Senior Scientist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,"Join our team as a Help Desk Analyst. Must have experience in Python, SQL and strong analytical abilities.",Pune
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,"Join our team as a Customer Service Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,"Seeking a skilled Business Intelligence Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,"Looking for a Event Coordinator with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
47.0,Male,Master's,VP of Finance,19.0,200000.0,"Join our team as a Vp Of Finance. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,"Seeking a skilled Graphic Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,"Looking for a Sales Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
27.0,Female,Master's,UX Researcher,2.0,65000.0,"Looking for a Ux Researcher with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
43.0,Male,PhD,Senior Engineer,17.0,140000.0,"Seeking a skilled Senior Engineer who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,"We are hiring a Social Media Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
35.0,Male,Master's,Product Manager,7.0,105000.0,"Looking for a Product Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
51.0,Female,Master's,Director of Operations,23.0,170000.0,"Looking for a Director Of Operations with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,"We are hiring a Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
40.0,Female,Bachelor's,HR Manager,12.0,80000.0,"We are hiring a Hr Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,"Join our team as a Senior Data Scientist. Must have experience in Python, Machine Learning, SQL and strong analytical abilities.",Chennai
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,"We are hiring a Junior Accountant. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,"Seeking a skilled Digital Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
46.0,Male,Bachelor's,IT Manager,19.0,120000.0,"Seeking a skilled It Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,"Looking for a Customer Service Representative with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
34.0,Male,Master's,Business Development Manager,8.0,90000.0,"Looking for a Business Development Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,"Seeking a skilled Senior Financial Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,"Seeking a skilled Web Developer who has knowledge of Programming, Debugging, APIs and can work in a fast-paced environment.",Bangalore
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,"We are hiring a Recruiter. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
45.0,Male,PhD,Research Director,16.0,190000.0,"We are hiring a Research Director. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,"We are hiring a Technical Support Specialist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
42.0,Female,Master's,Creative Director,14.0,120000.0,"Seeking a skilled Creative Director who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,"Looking for a Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,"We are hiring a Operations Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,"Seeking a skilled Senior Software Engineer who has knowledge of Java, C++, Problem Solving and can work in a fast-paced environment.",Delhi
48.0,Female,Master's,Human Resources Director,20.0,180000.0,"Looking for a Human Resources Director with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,"Seeking a skilled Content Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,"Join our team as a Technical Recruiter. Must have experience in Python, SQL and strong analytical abilities.",Pune
41.0,Female,Master's,Data Analyst,13.0,80000.0,"Seeking a skilled Data Analyst who has knowledge of Excel, SQL, Data Analysis and can work in a fast-paced environment.",Bangalore
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,"Looking for a Sales Representative with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,"Seeking a skilled Chief Technology Officer who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,"Looking for a Junior Designer with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
34.0,Female,Master's,Financial Advisor,10.0,95000.0,"Looking for a Financial Advisor with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,"Seeking a skilled Junior Account Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,"Join our team as a Hr Generalist. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,"Join our team as a Senior Project Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,"Seeking a skilled Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
36.0,Male,PhD,Principal Scientist,11.0,120000.0,"Looking for a Principal Scientist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,"Seeking a skilled Sales Associate who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,"Seeking a skilled Supply Chain Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,"We are hiring a Senior Marketing Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,"Looking for a Business Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,"Seeking a skilled Training Specialist who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
47.0,Male,PhD,Research Scientist,22.0,160000.0,"We are hiring a Research Scientist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,"Looking for a Junior Software Developer with experience in Programming, Debugging, APIs. Candidate should be proficient in problem solving and teamwork.",Delhi
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,"We are hiring a Public Relations Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,"Looking for a Operations Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,"Seeking a skilled Event Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,"Join our team as a Product Marketing Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,"We are hiring a Senior Hr Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,"We are hiring a Junior Web Developer. Required skills include Programming, Debugging, APIs. Experience in real-world projects is a plus.",Bangalore
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,"We are hiring a Senior Project Coordinator. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,"Seeking a skilled Chief Data Officer who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,"Join our team as a Digital Content Producer. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,"Looking for a It Support Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,"Looking for a Senior Marketing Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,"Join our team as a Customer Success Manager. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,"Join our team as a Senior Graphic Designer. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,"Looking for a Software Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,"Seeking a skilled Supply Chain Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,"Looking for a Senior Business Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,"Seeking a skilled Junior Marketing Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,"We are hiring a Senior Financial Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,"Seeking a skilled Office Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
48.0,Male,PhD,Principal Engineer,20.0,170000.0,"Join our team as a Principal Engineer. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,"Seeking a skilled Junior Hr Generalist who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,"Join our team as a Senior Product Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,"Looking for a Sales Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
53.0,Male,Master's,Director of Marketing,25.0,180000.0,"Join our team as a Director Of Marketing. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,"Join our team as a Junior Operations Analyst. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,"We are hiring a Customer Service Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Chennai
44.0,Female,PhD,Senior Scientist,16.0,140000.0,"Seeking a skilled Senior Scientist who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,"We are hiring a Junior Accountant. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,"Looking for a Senior Hr Generalist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,"Looking for a Sales Operations Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,"We are hiring a Marketing Coordinator. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,"Join our team as a Senior Software Developer. Must have experience in Programming, Debugging, APIs and strong analytical abilities.",Mumbai
50.0,Female,Master's,Director of Operations,21.0,160000.0,"Seeking a skilled Director Of Operations who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,"Seeking a skilled Junior Web Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,"Looking for a Senior Training Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,"Join our team as a Senior Research Scientist. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,"Looking for a Junior Sales Representative with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,"Seeking a skilled Administrative Assistant who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,"Seeking a skilled Senior Project Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,"Seeking a skilled Junior Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,"Looking for a Junior Data Analyst with experience in Excel, SQL, Data Analysis. Candidate should be proficient in problem solving and teamwork.",Chennai
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,"Looking for a Senior Product Marketing Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,"Join our team as a Junior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,"Looking for a Senior Marketing Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,"We are hiring a Junior Software Developer. Required skills include Programming, Debugging, APIs. Experience in real-world projects is a plus.",Pune
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,"Join our team as a Senior Sales Manager. Must have experience in Python, SQL and strong analytical abilities.",Pune
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,"Seeking a skilled Junior Marketing Specialist who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,"Join our team as a Senior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,"Seeking a skilled Senior Data Scientist who has knowledge of Python, Machine Learning, SQL and can work in a fast-paced environment.",Mumbai
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,"Join our team as a Junior Project Manager. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,"Join our team as a Senior Accountant. Must have experience in Python, SQL and strong analytical abilities.",Pune
45.0,Male,Master's,Director of Sales,19.0,175000.0,"Seeking a skilled Director Of Sales who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,"Seeking a skilled Junior Recruiter who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,"Join our team as a Senior Business Development Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,"We are hiring a Senior Product Designer. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,"Looking for a Junior Customer Support Specialist with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,"We are hiring a Senior Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,"We are hiring a Senior It Support Specialist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,"Join our team as a Junior Financial Analyst. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,"We are hiring a Senior Operations Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,"Seeking a skilled Director Of Human Resources who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,"Join our team as a Junior Software Engineer. Must have experience in Java, C++, Problem Solving and strong analytical abilities.",Chennai
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,"Seeking a skilled Senior Sales Representative who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
48.0,Male,Master's,Director of Product Management,21.0,175000.0,"Looking for a Director Of Product Management with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,"Join our team as a Junior Copywriter. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,"Join our team as a Senior Marketing Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,"We are hiring a Senior Human Resources Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Hyderabad
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,"Looking for a Junior Business Development Associate with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,"Seeking a skilled Senior Account Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
46.0,Male,PhD,Senior Researcher,18.0,150000.0,"Seeking a skilled Senior Researcher who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,"Seeking a skilled Junior Hr Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,"We are hiring a Senior Software Engineer. Required skills include Java, C++, Problem Solving. Experience in real-world projects is a plus.",Delhi
50.0,Female,Master's,Director of Finance,20.0,180000.0,"Looking for a Director Of Finance with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Hyderabad
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,"Seeking a skilled Junior Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
,,,,,,"We are hiring a Nan. Required skills include Python, SQL. Experience in real-world projects is a plus.",Mumbai
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,"Looking for a Senior Project Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,"Seeking a skilled Junior Data Scientist who has knowledge of Python, Machine Learning, SQL and can work in a fast-paced environment.",Bangalore
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,"Seeking a skilled Senior Operations Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
